mass,angle,min_zeta,max_zeta,a6,a5,a4,a3,a2,a1,a0
1,4,0,-1,6.3069E+0,2.1751E+1,3.0084E+1,2.1648E+1,9.0952E+0,2.6901E+0,0.8324
1,4,-1,-10,1.1911E-5,4.1997E-4,5.9604E-3,4.3776E-2,1.7807E-1,3.9509E-1,0.4801
1,3,0,-1,1.1452E+0,4.2120E+0,6.4222E+0,5.4320E+0,3.0461E+0,1.4174E+0,0.6316
1,3,-1,-10,1.0726E-5,3.7641E-4,5.3146E-3,3.8802E-2,1.5667E-1,3.4397E-1,0.4032
1,2,0,-1,1.8552E-1,7.4137E-1,1.2913E+0,1.3665E+0,1.0894E+0,7.5111E-1,0.4219
1,2,-1,-10,7.8798E-6,2.7680E-4,3.9107E-3,2.8554E-2,1.1518E-1,2.5205E-1,0.2899
1,1,0,-1,2.4947E-2,1.1302E-1,2.3963E-1,3.3765E-1,3.7430E-1,3.3265E-1,0.211
1,1,-1,-10,4.2330E-6,1.4824E-4,2.0882E-3,1.5203E-2,6.1142E-2,1.3333E-1,0.1516
2,3,0,-1,1.0929E+1,3.6682E+1,4.8949E+1,3.3501E+1,1.3033E+1,3.3949E+0,0.872
2,3,-1,-10,1.3155E-5,4.6022E-4,6.4691E-3,4.6927E-2,1.8766E-1,4.0583E-1,0.4562
2,2,0,-1,1.1072E+0,4.0726E+0,6.2259E+0,5.3108E+0,3.0312E+0,1.4278E+0,0.5957
2,2,-1,-10,1.1021E-5,3.8542E-4,5.4098E-3,3.9116E-2,1.5547E-1,3.3239E-1,0.3583
2,1,0,-1,8.1095E-2,3.4084E-1,6.4569E-1,7.7796E-1,7.2249E-1,5.4939E-1,0.2984
2,1,-1,-10,6.3787E-6,2.2204E-4,3.1014E-3,2.2309E-2,8.8137E-2,1.8696E-1,0.197
2.5,2,0,-1,2.1137E+0,7.5610E+0,1.1086E+1,8.8342E+0,4.4968E+0,1.8108E+0,0.6648
2.5,2,-1,-10,1.2273E-5,4.2686E-4,5.9568E-3,4.2804E-2,1.6893E-1,3.5812E-1,0.3793
2.5,1,0,-1,1.2350E-1,5.0657E-1,9.2326E-1,1.0497E+0,9.0793E-1,6.4799E-1,0.3336
2.5,1,-1,-10,7.0756E-6,2.4679E-4,3.4507E-3,2.4814E-2,9.7805E-2,2.0631E-1,0.2134
